region,småvilt,statistikkvariabel,intervall (år),value
Fredrikstad,Toppskarv,Felte småvilt,2023-2024,20.0
Fredrikstad,Storskarv,Felte småvilt,2023-2024,80.0
Fredrikstad,Bever,Felte småvilt,2023-2024,0.0
Fredrikstad,Bisam,Felte småvilt,2023-2024,0.0
Fredrikstad,Hare,Felte småvilt,2023-2024,0.0
Fredrikstad,Sørhare,Felte småvilt,2023-2024,10.0
Fredrikstad,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Fredrikstad,Ekorn,Felte småvilt,2023-2024,
Fredrikstad,Rødrev,Felte småvilt,2023-2024,80.0
Fredrikstad,Grevling,Felte småvilt,2023-2024,20.0
Fredrikstad,Villmink,Felte småvilt,2023-2024,10.0
Fredrikstad,Mår,Felte småvilt,2023-2024,0.0
Fredrikstad,Mårhund,Felte småvilt,2023-2024,0.0
Fredrikstad,Vaskebjørn,Felte småvilt,2023-2024,0.0
Fredrikstad,Røyskatt,Felte småvilt,2023-2024,0.0
Hvaler,I alt,Felte småvilt,2023-2024,1550.0
Hvaler,Storfugl,Felte småvilt,2023-2024,0.0
Hvaler,Orrfugl,Felte småvilt,2023-2024,0.0
Hvaler,Lirype,Felte småvilt,2023-2024,0.0
Hvaler,Fjellrype,Felte småvilt,2023-2024,0.0
Hvaler,Jerpe,Felte småvilt,2023-2024,0.0
Hvaler,Ringdue,Felte småvilt,2023-2024,90.0
Hvaler,Ravn,Felte småvilt,2023-2024,0.0
Hvaler,Kråke,Felte småvilt,2023-2024,20.0
Hvaler,Skjære,Felte småvilt,2023-2024,30.0
Hvaler,Nøtteskrike,Felte småvilt,2023-2024,0.0
Hvaler,Gråtrost,Felte småvilt,2023-2024,
Hvaler,Fasan,Felte småvilt,2023-2024,0.0
Hvaler,Rugde,Felte småvilt,2023-2024,
Hvaler,Enkeltbekkasin,Felte småvilt,2023-2024,0.0
Hvaler,Stokkand,Felte småvilt,2023-2024,80.0
Hvaler,Krikkand,Felte småvilt,2023-2024,20.0
Hvaler,Brunnakke,Felte småvilt,2023-2024,0.0
Hvaler,Kvinand,Felte småvilt,2023-2024,80.0
Hvaler,Siland,Felte småvilt,2023-2024,70.0
Hvaler,Toppand,Felte småvilt,2023-2024,0.0
Hvaler,Ærfugl,Felte småvilt,2023-2024,320.0
Hvaler,Laksand,Felte småvilt,2023-2024,10.0
Hvaler,Svartand,Felte småvilt,2023-2024,280.0
Hvaler,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Hvaler,Mandarinand,Felte småvilt,2023-2024,0.0
Hvaler,Stivhaleand,Felte småvilt,2023-2024,0.0
Hvaler,Grågås,Felte småvilt,2023-2024,230.0
Hvaler,Kanadagås,Felte småvilt,2023-2024,
Hvaler,Kortnebbgås,Felte småvilt,2023-2024,0.0
Hvaler,Stripegås,Felte småvilt,2023-2024,0.0
Hvaler,Toppskarv,Felte småvilt,2023-2024,20.0
Hvaler,Storskarv,Felte småvilt,2023-2024,200.0
Hvaler,Bever,Felte småvilt,2023-2024,0.0
Hvaler,Bisam,Felte småvilt,2023-2024,0.0
Hvaler,Hare,Felte småvilt,2023-2024,0.0
Hvaler,Sørhare,Felte småvilt,2023-2024,0.0
Hvaler,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Hvaler,Ekorn,Felte småvilt,2023-2024,0.0
Hvaler,Rødrev,Felte småvilt,2023-2024,40.0
Hvaler,Grevling,Felte småvilt,2023-2024,
Hvaler,Villmink,Felte småvilt,2023-2024,30.0
Hvaler,Mår,Felte småvilt,2023-2024,0.0
Hvaler,Mårhund,Felte småvilt,2023-2024,0.0
Hvaler,Vaskebjørn,Felte småvilt,2023-2024,0.0
Hvaler,Røyskatt,Felte småvilt,2023-2024,0.0
Råde,I alt,Felte småvilt,2023-2024,1180.0
Råde,Storfugl,Felte småvilt,2023-2024,0.0
Råde,Orrfugl,Felte småvilt,2023-2024,0.0
Råde,Lirype,Felte småvilt,2023-2024,0.0
Råde,Fjellrype,Felte småvilt,2023-2024,0.0
Råde,Jerpe,Felte småvilt,2023-2024,0.0
Råde,Ringdue,Felte småvilt,2023-2024,420.0
Råde,Ravn,Felte småvilt,2023-2024,
Råde,Kråke,Felte småvilt,2023-2024,30.0
Råde,Skjære,Felte småvilt,2023-2024,30.0
Råde,Nøtteskrike,Felte småvilt,2023-2024,10.0
Råde,Gråtrost,Felte småvilt,2023-2024,
Råde,Fasan,Felte småvilt,2023-2024,0.0
Råde,Rugde,Felte småvilt,2023-2024,
Råde,Enkeltbekkasin,Felte småvilt,2023-2024,0.0
Råde,Stokkand,Felte småvilt,2023-2024,40.0
Råde,Krikkand,Felte småvilt,2023-2024,
Råde,Brunnakke,Felte småvilt,2023-2024,
Råde,Kvinand,Felte småvilt,2023-2024,
Råde,Siland,Felte småvilt,2023-2024,0.0
Råde,Toppand,Felte småvilt,2023-2024,0.0
Råde,Ærfugl,Felte småvilt,2023-2024,
Råde,Laksand,Felte småvilt,2023-2024,
Råde,Svartand,Felte småvilt,2023-2024,
Råde,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Råde,Mandarinand,Felte småvilt,2023-2024,0.0
Råde,Stivhaleand,Felte småvilt,2023-2024,0.0
Råde,Grågås,Felte småvilt,2023-2024,340.0
Råde,Kanadagås,Felte småvilt,2023-2024,100.0
Råde,Kortnebbgås,Felte småvilt,2023-2024,0.0
Råde,Stripegås,Felte småvilt,2023-2024,
Råde,Toppskarv,Felte småvilt,2023-2024,0.0
Råde,Storskarv,Felte småvilt,2023-2024,
Råde,Bever,Felte småvilt,2023-2024,10.0
Råde,Bisam,Felte småvilt,2023-2024,0.0
Råde,Hare,Felte småvilt,2023-2024,
Råde,Sørhare,Felte småvilt,2023-2024,0.0
Råde,Viltlevende kanin,Felte småvilt,2023-2024,
Råde,Ekorn,Felte småvilt,2023-2024,0.0
Råde,Rødrev,Felte småvilt,2023-2024,100.0
Råde,Grevling,Felte småvilt,2023-2024,30.0
Råde,Villmink,Felte småvilt,2023-2024,
Råde,Mår,Felte småvilt,2023-2024,0.0
Råde,Mårhund,Felte småvilt,2023-2024,0.0
Råde,Vaskebjørn,Felte småvilt,2023-2024,0.0
Råde,Røyskatt,Felte småvilt,2023-2024,0.0
Våler (Østfold),I alt,Felte småvilt,2023-2024,500.0
Våler (Østfold),Storfugl,Felte småvilt,2023-2024,10.0
Våler (Østfold),Orrfugl,Felte småvilt,2023-2024,20.0
Våler (Østfold),Lirype,Felte småvilt,2023-2024,0.0
Våler (Østfold),Fjellrype,Felte småvilt,2023-2024,0.0
Våler (Østfold),Jerpe,Felte småvilt,2023-2024,
Våler (Østfold),Ringdue,Felte småvilt,2023-2024,200.0
Våler (Østfold),Ravn,Felte småvilt,2023-2024,30.0
Våler (Østfold),Kråke,Felte småvilt,2023-2024,30.0
Våler (Østfold),Skjære,Felte småvilt,2023-2024,20.0
Våler (Østfold),Nøtteskrike,Felte småvilt,2023-2024,10.0
Våler (Østfold),Gråtrost,Felte småvilt,2023-2024,0.0
Våler (Østfold),Fasan,Felte småvilt,2023-2024,0.0
Våler (Østfold),Rugde,Felte småvilt,2023-2024,
Våler (Østfold),Enkeltbekkasin,Felte småvilt,2023-2024,0.0
Våler (Østfold),Stokkand,Felte småvilt,2023-2024,40.0
Våler (Østfold),Krikkand,Felte småvilt,2023-2024,
Våler (Østfold),Brunnakke,Felte småvilt,2023-2024,
Våler (Østfold),Kvinand,Felte småvilt,2023-2024,
Våler (Østfold),Siland,Felte småvilt,2023-2024,0.0
Våler (Østfold),Toppand,Felte småvilt,2023-2024,0.0
Våler (Østfold),Ærfugl,Felte småvilt,2023-2024,0.0
Våler (Østfold),Laksand,Felte småvilt,2023-2024,
Våler (Østfold),Svartand,Felte småvilt,2023-2024,0.0
Våler (Østfold),Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Våler (Østfold),Mandarinand,Felte småvilt,2023-2024,0.0
Våler (Østfold),Stivhaleand,Felte småvilt,2023-2024,0.0
Våler (Østfold),Grågås,Felte småvilt,2023-2024,20.0
Våler (Østfold),Kanadagås,Felte småvilt,2023-2024,10.0
Våler (Østfold),Kortnebbgås,Felte småvilt,2023-2024,0.0
Våler (Østfold),Stripegås,Felte småvilt,2023-2024,0.0
Våler (Østfold),Toppskarv,Felte småvilt,2023-2024,0.0
Våler (Østfold),Storskarv,Felte småvilt,2023-2024,0.0
Våler (Østfold),Bever,Felte småvilt,2023-2024,0.0
Våler (Østfold),Bisam,Felte småvilt,2023-2024,0.0
Våler (Østfold),Hare,Felte småvilt,2023-2024,10.0
Våler (Østfold),Sørhare,Felte småvilt,2023-2024,0.0
Våler (Østfold),Viltlevende kanin,Felte småvilt,2023-2024,0.0
Våler (Østfold),Ekorn,Felte småvilt,2023-2024,
Våler (Østfold),Rødrev,Felte småvilt,2023-2024,70.0
Våler (Østfold),Grevling,Felte småvilt,2023-2024,20.0
Våler (Østfold),Villmink,Felte småvilt,2023-2024,0.0
Våler (Østfold),Mår,Felte småvilt,2023-2024,
Våler (Østfold),Mårhund,Felte småvilt,2023-2024,0.0
Våler (Østfold),Vaskebjørn,Felte småvilt,2023-2024,0.0
Våler (Østfold),Røyskatt,Felte småvilt,2023-2024,0.0
Skiptvet,I alt,Felte småvilt,2023-2024,330.0
Skiptvet,Storfugl,Felte småvilt,2023-2024,0.0
Skiptvet,Orrfugl,Felte småvilt,2023-2024,
Skiptvet,Lirype,Felte småvilt,2023-2024,0.0
Skiptvet,Fjellrype,Felte småvilt,2023-2024,0.0
Skiptvet,Jerpe,Felte småvilt,2023-2024,0.0
Skiptvet,Ringdue,Felte småvilt,2023-2024,140.0
Skiptvet,Ravn,Felte småvilt,2023-2024,0.0
Skiptvet,Kråke,Felte småvilt,2023-2024,50.0
Skiptvet,Skjære,Felte småvilt,2023-2024,20.0
Skiptvet,Nøtteskrike,Felte småvilt,2023-2024,
Skiptvet,Gråtrost,Felte småvilt,2023-2024,
Skiptvet,Fasan,Felte småvilt,2023-2024,0.0
Skiptvet,Rugde,Felte småvilt,2023-2024,0.0
Skiptvet,Enkeltbekkasin,Felte småvilt,2023-2024,0.0
Skiptvet,Stokkand,Felte småvilt,2023-2024,20.0
Skiptvet,Krikkand,Felte småvilt,2023-2024,0.0
Skiptvet,Brunnakke,Felte småvilt,2023-2024,0.0
Skiptvet,Kvinand,Felte småvilt,2023-2024,0.0
Skiptvet,Siland,Felte småvilt,2023-2024,0.0
Skiptvet,Toppand,Felte småvilt,2023-2024,0.0
Skiptvet,Ærfugl,Felte småvilt,2023-2024,0.0
Skiptvet,Laksand,Felte småvilt,2023-2024,0.0
Skiptvet,Svartand,Felte småvilt,2023-2024,0.0
Skiptvet,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Skiptvet,Mandarinand,Felte småvilt,2023-2024,0.0
Skiptvet,Stivhaleand,Felte småvilt,2023-2024,0.0
Skiptvet,Grågås,Felte småvilt,2023-2024,20.0
Skiptvet,Kanadagås,Felte småvilt,2023-2024,
Skiptvet,Kortnebbgås,Felte småvilt,2023-2024,0.0
Skiptvet,Stripegås,Felte småvilt,2023-2024,0.0
Skiptvet,Toppskarv,Felte småvilt,2023-2024,0.0
Skiptvet,Storskarv,Felte småvilt,2023-2024,0.0
Skiptvet,Bever,Felte småvilt,2023-2024,20.0
Skiptvet,Bisam,Felte småvilt,2023-2024,0.0
Skiptvet,Hare,Felte småvilt,2023-2024,0.0
Skiptvet,Sørhare,Felte småvilt,2023-2024,0.0
Skiptvet,Viltlevende kanin,Felte småvilt,2023-2024,0.0
Skiptvet,Ekorn,Felte småvilt,2023-2024,0.0
Skiptvet,Rødrev,Felte småvilt,2023-2024,30.0
Skiptvet,Grevling,Felte småvilt,2023-2024,10.0
Skiptvet,Villmink,Felte småvilt,2023-2024,0.0
Skiptvet,Mår,Felte småvilt,2023-2024,
Skiptvet,Mårhund,Felte småvilt,2023-2024,0.0
Skiptvet,Vaskebjørn,Felte småvilt,2023-2024,0.0
Skiptvet,Røyskatt,Felte småvilt,2023-2024,0.0
Indre Østfold,I alt,Felte småvilt,2023-2024,2340.0
Indre Østfold,Storfugl,Felte småvilt,2023-2024,20.0
Indre Østfold,Orrfugl,Felte småvilt,2023-2024,20.0
